"type","no_of_genes","score","query"
"recall","4",0.221370388116914,"AND query"
"precision, tissue","4",0.916666666666667,"AND query"
"recall, tissue","4",0.221370388116914,"AND query"
"precision","5",0.957516339869281,"AND query"
"recall","5",0.140392908481073,"AND query"
"precision, tissue","5",0.963815789473684,"AND query"
"recall, tissue","5",0.140392908481073,"AND query"
"precision","1",0.2,"AND query"
"recall","1",0.117647058823529,"AND query"
"precision, tissue","1",1,"AND query"
"recall, tissue","1",0.117647058823529,"AND query"
"precision","1",0.282961460446247,"AND query"
"recall","1",0.57172131147541,"AND query"
"precision, tissue","1",0.894230769230769,"AND query"
"recall, tissue","1",0.57172131147541,"AND query"
"precision","2",0.595918367346939,"AND query"
"recall","2",0.299180327868852,"AND query"
"precision, tissue","2",0.986486486486487,"AND query"
"recall, tissue","2",0.299180327868852,"AND query"
"precision","3",0.661538461538462,"AND query"
"recall","3",0.264344262295082,"AND query"
"precision, tissue","3",0.984732824427481,"AND query"
"recall, tissue","3",0.264344262295082,"AND query"
"precision","4",0.844262295081967,"AND query"
"recall","4",0.211065573770492,"AND query"
"precision, tissue","4",0.990384615384615,"AND query"
"recall, tissue","4",0.211065573770492,"AND query"
"precision","5",0.867924528301887,"AND query"
"recall","5",0.0942622950819672,"AND query"
"precision, tissue","5",0.978723404255319,"AND query"
"recall, tissue","5",0.0942622950819672,"AND query"
"precision","1",0.31,"AND query"
"recall","1",0.729411764705882,"AND query"
"precision, tissue","1",0.837837837837838,"AND query"
"recall, tissue","1",0.729411764705882,"AND query"
"precision","2",0.432,"AND query"
"recall","2",0.423529411764706,"AND query"
"precision, tissue","2",0.981818181818182,"AND query"
"recall, tissue","2",0.423529411764706,"AND query"
"precision","3",0.741573033707865,"AND query"
"recall","3",0.258823529411765,"AND query"
"precision, tissue","3",0.970588235294118,"AND query"
"recall, tissue","3",0.258823529411765,"AND query"
"precision","4",1,"AND query"
"recall","4",0.223529411764706,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.223529411764706,"AND query"
"precision","5",1,"AND query"
"recall","5",0.164705882352941,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.164705882352941,"AND query"
"precision","1",0.301075268817204,"AND query"
"recall","1",0.549019607843137,"AND query"
"precision, tissue","1",0.482758620689655,"AND query"
"recall, tissue","1",0.549019607843137,"AND query"
"precision","2",0.341463414634146,"AND query"
"recall","2",0.549019607843137,"AND query"
"precision, tissue","2",0.518518518518518,"AND query"
"recall, tissue","2",0.549019607843137,"AND query"
"precision","3",0.285714285714286,"AND query"
"recall","3",0.156862745098039,"AND query"
"precision, tissue","3",0.615384615384615,"AND query"
"recall, tissue","3",0.156862745098039,"AND query"
"precision","4",1,"AND query"
"recall","4",0.0392156862745098,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.0392156862745098,"AND query"
"precision","1",0.0882352941176471,"AND query"
"recall","1",0.075,"AND query"
"precision, tissue","1",0.6,"AND query"
"recall, tissue","1",0.075,"AND query"
"precision","1",0.302631578947368,"AND query"
"recall","1",0.333333333333333,"AND query"
"precision, tissue","1",0.821428571428571,"AND query"
"recall, tissue","1",0.333333333333333,"AND query"
"precision","2",0.666666666666667,"AND query"
"recall","2",0.231884057971014,"AND query"
"precision, tissue","2",0.941176470588235,"AND query"
"recall, tissue","2",0.231884057971014,"AND query"
"precision","3",0.681818181818182,"AND query"
"recall","3",0.217391304347826,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.217391304347826,"AND query"
"precision","4",0.7,"AND query"
"recall","4",0.202898550724638,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.202898550724638,"AND query"
"precision","5",0.666666666666667,"AND query"
"recall","5",0.173913043478261,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.173913043478261,"AND query"
"precision","1",0.0709382151029748,"AND query"
"recall","1",0.476923076923077,"AND query"
"precision, tissue","1",0.142201834862385,"AND query"
"recall, tissue","1",0.476923076923077,"AND query"
"precision","2",0.159574468085106,"AND query"
"recall","2",0.230769230769231,"AND query"
"precision, tissue","2",0.166666666666667,"AND query"
"recall, tissue","2",0.230769230769231,"AND query"
"precision","3",0.170454545454545,"AND query"
"recall","3",0.230769230769231,"AND query"
"precision, tissue","3",0.174418604651163,"AND query"
"recall, tissue","3",0.230769230769231,"AND query"
"precision","4",0.315789473684211,"AND query"
"recall","4",0.0923076923076923,"AND query"
"precision, tissue","4",0.315789473684211,"AND query"
"recall, tissue","4",0.0923076923076923,"AND query"
"precision","5",0.294117647058824,"AND query"
"recall","5",0.0769230769230769,"AND query"
"precision, tissue","5",0.294117647058824,"AND query"
"recall, tissue","5",0.0769230769230769,"AND query"
"precision","1",0.266666666666667,"AND query"
"recall","1",0.909090909090909,"AND query"
"precision, tissue","1",0.666666666666667,"AND query"
"recall, tissue","1",0.909090909090909,"AND query"
"precision","2",0.772727272727273,"AND query"
"recall","2",0.772727272727273,"AND query"
"precision, tissue","2",0.790697674418605,"AND query"
"recall, tissue","2",0.772727272727273,"AND query"
"precision","3",0.787878787878788,"AND query"
"recall","3",0.590909090909091,"AND query"
"precision, tissue","3",0.8125,"AND query"
"recall, tissue","3",0.590909090909091,"AND query"
"precision","4",0.826086956521739,"AND query"
"recall","4",0.431818181818182,"AND query"
"precision, tissue","4",0.863636363636364,"AND query"
"recall, tissue","4",0.431818181818182,"AND query"
"precision","5",0.923076923076923,"AND query"
"recall","5",0.272727272727273,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.272727272727273,"AND query"
"precision","1",0.423469387755102,"AND query"
"recall","1",0.636015325670498,"AND query"
"precision, tissue","1",0.864583333333333,"AND query"
"recall, tissue","1",0.636015325670498,"AND query"
"precision","2",0.815,"AND query"
"recall","2",0.624521072796935,"AND query"
"precision, tissue","2",0.871657754010695,"AND query"
"recall, tissue","2",0.624521072796935,"AND query"
"precision","3",0.875968992248062,"AND query"
"recall","3",0.432950191570881,"AND query"
"precision, tissue","3",0.896825396825397,"AND query"
"recall, tissue","3",0.432950191570881,"AND query"
"precision","4",0.883333333333333,"AND query"
"recall","4",0.406130268199234,"AND query"
"precision, tissue","4",0.890756302521008,"AND query"
"recall, tissue","4",0.406130268199234,"AND query"
"precision","5",0.890243902439024,"AND query"
"recall","5",0.279693486590038,"AND query"
"precision, tissue","5",0.890243902439024,"AND query"
"recall, tissue","5",0.279693486590038,"AND query"
"precision","1",0.0950226244343891,"AND query"
"recall","1",0.552631578947368,"AND query"
"precision, tissue","1",1,"AND query"
"recall, tissue","1",0.552631578947368,"AND query"
"precision","2",0.289473684210526,"AND query"
"recall","2",0.289473684210526,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.289473684210526,"AND query"
"precision","3",0.333333333333333,"AND query"
"recall","3",0.0263157894736842,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.0263157894736842,"AND query"
"precision","1",0.0571428571428571,"AND query"
"recall","1",0.0689655172413793,"AND query"
"precision, tissue","1",1,"AND query"
"recall, tissue","1",0.0689655172413793,"AND query"
"precision","2",1,"AND query"
"recall","2",0.0344827586206897,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.0344827586206897,"AND query"
"precision","1",0.397350993377483,"AND query"
"recall","1",0.918367346938776,"AND query"
"precision, tissue","1",0.772532188841202,"AND query"
"recall, tissue","1",0.918367346938776,"AND query"
"precision","2",0.884848484848485,"AND query"
"recall","2",0.744897959183674,"AND query"
"precision, tissue","2",0.935897435897436,"AND query"
"recall, tissue","2",0.744897959183674,"AND query"
"precision","3",0.924050632911392,"AND query"
"recall","3",0.744897959183674,"AND query"
"precision, tissue","3",0.941935483870968,"AND query"
"recall, tissue","3",0.744897959183674,"AND query"
"precision","4",0.929936305732484,"AND query"
"recall","4",0.744897959183674,"AND query"
"precision, tissue","4",0.948051948051948,"AND query"
"recall, tissue","4",0.744897959183674,"AND query"
"precision","5",0.935897435897436,"AND query"
"recall","5",0.744897959183674,"AND query"
"precision, tissue","5",0.948051948051948,"AND query"
"recall, tissue","5",0.744897959183674,"AND query"
"precision","1",0.801526717557252,"AND query"
"recall","1",0.789473684210526,"AND query"
"precision, tissue","1",0.846774193548387,"AND query"
"recall, tissue","1",0.789473684210526,"AND query"
"precision","2",0.911184210526316,"AND query"
"recall","2",0.694235588972431,"AND query"
"precision, tissue","2",0.914191419141914,"AND query"
"recall, tissue","2",0.694235588972431,"AND query"
"precision","3",0.938524590163934,"AND query"
"recall","3",0.573934837092732,"AND query"
"precision, tissue","3",0.94238683127572,"AND query"
"recall, tissue","3",0.573934837092732,"AND query"
"precision","4",0.93953488372093,"AND query"
"recall","4",0.506265664160401,"AND query"
"precision, tissue","4",0.94392523364486,"AND query"
"recall, tissue","4",0.506265664160401,"AND query"
"precision","5",0.935643564356436,"AND query"
"recall","5",0.473684210526316,"AND query"
"precision, tissue","5",0.940298507462687,"AND query"
"recall, tissue","5",0.473684210526316,"AND query"
"precision","1",0.273809523809524,"AND query"
"recall","1",0.450980392156863,"AND query"
"precision, tissue","1",0.741935483870968,"AND query"
"recall, tissue","1",0.450980392156863,"AND query"
"precision","2",0.741935483870968,"AND query"
"recall","2",0.450980392156863,"AND query"
"precision, tissue","2",0.851851851851852,"AND query"
"recall, tissue","2",0.450980392156863,"AND query"
"precision","3",0.766666666666667,"AND query"
"recall","3",0.450980392156863,"AND query"
"precision, tissue","3",0.884615384615385,"AND query"
"recall, tissue","3",0.450980392156863,"AND query"
"precision","4",1,"AND query"
"recall","4",0.274509803921569,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.274509803921569,"AND query"
"precision","5",1,"AND query"
"recall","5",0.274509803921569,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.274509803921569,"AND query"
"precision","1",0.0562770562770563,"AND query"
"recall","1",0.742857142857143,"AND query"
"precision, tissue","1",0.896551724137931,"AND query"
"recall, tissue","1",0.742857142857143,"AND query"
"precision","2",0.25,"AND query"
"recall","2",0.342857142857143,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.342857142857143,"AND query"
"precision","3",0.545454545454545,"AND query"
"recall","3",0.171428571428571,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.171428571428571,"AND query"
"precision","4",1,"AND query"
"recall","4",0.114285714285714,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.114285714285714,"AND query"
"precision","5",1,"AND query"
"recall","5",0.0857142857142857,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.0857142857142857,"AND query"
"precision","1",0.0833333333333333,"AND query"
"recall","1",0.0363636363636364,"AND query"
"precision, tissue","1",0.666666666666667,"AND query"
"recall, tissue","1",0.0363636363636364,"AND query"
"precision","2",0,"AND query"
"recall","2",0,"AND query"
"precision, tissue","2",NA,"AND query"
"recall, tissue","2",0,"AND query"
"precision","1",0.235294117647059,"AND query"
"recall","1",0.857142857142857,"AND query"
"precision, tissue","1",0.6,"AND query"
"recall, tissue","1",0.857142857142857,"AND query"
"precision","2",0.391304347826087,"AND query"
"recall","2",0.642857142857143,"AND query"
"precision, tissue","2",0.75,"AND query"
"recall, tissue","2",0.642857142857143,"AND query"
"precision","3",0.470588235294118,"AND query"
"recall","3",0.571428571428571,"AND query"
"precision, tissue","3",0.8,"AND query"
"recall, tissue","3",0.571428571428571,"AND query"
"precision","4",0.470588235294118,"AND query"
"recall","4",0.571428571428571,"AND query"
"precision, tissue","4",0.8,"AND query"
"recall, tissue","4",0.571428571428571,"AND query"
"precision","5",0.5,"AND query"
"recall","5",0.5,"AND query"
"precision, tissue","5",0.777777777777778,"AND query"
"recall, tissue","5",0.5,"AND query"
"precision","1",0.0833333333333333,"AND query"
"recall","1",1,"AND query"
"precision, tissue","1",0.393939393939394,"AND query"
"recall, tissue","1",1,"AND query"
"precision","2",0.19047619047619,"AND query"
"recall","2",0.923076923076923,"AND query"
"precision, tissue","2",0.705882352941177,"AND query"
"recall, tissue","2",0.923076923076923,"AND query"
"precision","3",0.25,"AND query"
"recall","3",0.615384615384615,"AND query"
"precision, tissue","3",0.615384615384615,"AND query"
"recall, tissue","3",0.615384615384615,"AND query"
"precision","4",1,"AND query"
"recall","4",0.0769230769230769,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.0769230769230769,"AND query"
"precision","5",1,"AND query"
"recall","5",0.0769230769230769,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.0769230769230769,"AND query"
"precision","1",0.174129353233831,"AND query"
"recall","1",0.507246376811594,"AND query"
"precision, tissue","1",0.875,"AND query"
"recall, tissue","1",0.507246376811594,"AND query"
"precision","2",0.29126213592233,"AND query"
"recall","2",0.434782608695652,"AND query"
"precision, tissue","2",0.967741935483871,"AND query"
"recall, tissue","2",0.434782608695652,"AND query"
"precision","3",0.296703296703297,"AND query"
"recall","3",0.391304347826087,"AND query"
"precision, tissue","3",0.964285714285714,"AND query"
"recall, tissue","3",0.391304347826087,"AND query"
"precision","4",0.28125,"AND query"
"recall","4",0.130434782608696,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.130434782608696,"AND query"
"precision","5",0.375,"AND query"
"recall","5",0.0869565217391304,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.0869565217391304,"AND query"
"precision","1",0.339572192513369,"AND query"
"recall","1",0.516260162601626,"AND query"
"precision, tissue","1",0.854260089686099,"AND query"
